Country Name,Population,FertilityRate,LifeExpectancy
Aruba,104822.0,1.8,75.867
Afghanistan,34656032.0,4.635,63.673
Angola,28813463.0,5.694,61.547
Albania,2876101.0,1.713,78.345
Arab World,406452690.0,3.32653240145394,71.198456370659
United Arab Emirates,9269612.0,1.748,77.256
Argentina,43847430.0,2.293,76.577
Armenia,2924816.0,1.612,74.618
Antigua and Barbuda,100963.0,2.051,76.364
Australia,24210809.0,1.809,82.5
Austria,8731471.0,1.49,80.890243902439
Azerbaijan,9757812.0,1.94,72.026
Burundi,10524117.0,5.697,57.481
Belgium,11338476.0,1.7,80.9926829268293
Benin,10872298.0,4.977,60.907
Burkina Faso,18646433.0,5.353,60.361
Bangladesh,162951560.0,2.104,72.489
Bulgaria,7127822.0,1.53,74.6146341463415
Bahrain,1425171.0,2.033,76.9
"Bahamas, The",391232.0,1.767,75.675
Bosnia and Herzegovina,3516816.0,1.36,76.911
Belarus,9501534.0,1.733,73.8268292682927
Belize,366954.0,2.51,70.384
Bermuda,65376.0,1.61,81.2270731707317
Bolivia,10887882.0,2.878,69.125
Brazil,207652865.0,1.726,75.509
Barbados,284996.0,1.797,75.906
Brunei Darussalam,423196.0,1.874,77.203
Bhutan,797765.0,2.051,70.197
Botswana,2250260.0,2.73,66.797
Central African Republic,4594621.0,4.869,52.171
Canada,36264604.0,1.6,82.300512195122
Central Europe and the Baltics,102991323.0,1.45365844856003,76.6031767774002
Switzerland,8372413.0,1.54,82.8975609756098
Channel Islands,164541.0,1.478,81.107
Chile,17909754.0,1.774,79.522
China,1378665000.0,1.624,76.252
Cote d'Ivoire,23695919.0,4.911,53.582
Cameroon,23439189.0,4.708,58.073
"Congo, Dem. Rep.",78736153.0,6.112,59.621
"Congo, Rep.",5125821.0,4.661,64.625
Colombia,48653419.0,1.853,74.381
Comoros,795601.0,4.347,63.701
Cabo Verde,539560.0,2.334,72.798
Costa Rica,4857274.0,1.783,79.831
Caribbean small states,7245472.0,2.03449475279081,73.192408496541
Cuba,11475982.0,1.722,79.742
Curacao,159663.0,1.7,77.8731707317073
Cyprus,1170125.0,1.343,80.508
Czech Republic,10566332.0,1.57,78.3317073170732
Germany,82487842.0,1.5,80.6414634146341
Djibouti,942333.0,2.847,62.465
Denmark,5728010.0,1.71,80.7048780487805
Dominican Republic,10648791.0,2.422,73.861
Algeria,40606052.0,2.776,76.078
East Asia & Pacific (excluding high income),2053299126.0,1.84805016557854,74.4925325576175
Early-demographic dividend,3170657660.0,2.53622640755937,69.7662711291935
East Asia & Pacific,2298727229.0,1.80448261956439,75.3957319515201
Europe & Central Asia (excluding high income),417406606.0,1.93560287237044,72.8667826325873
Europe & Central Asia,911847278.0,1.75001255958048,77.2821081821612
Ecuador,16385068.0,2.486,76.327
"Egypt, Arab Rep.",95688681.0,3.265,71.484
Euro area,340762347.0,1.55192210107056,81.5596178979447
Spain,46484533.0,1.33,82.8317073170732
Estonia,1315790.0,1.58,77.7365853658537
Ethiopia,102403196.0,4.198,65.475
European Union,511360932.0,1.57130476878525,80.6204897315598
Fragile and conflict affected situations,505635987.0,4.44918706010665,62.3965268099866
Finland,5495303.0,1.65,81.7804878048781
Fiji,898760.0,2.516,70.269
France,66892205.0,1.96,82.2731707317073
Faroe Islands,49117.0,2.6,82.2414634146342
"Micronesia, Fed. Sts.",104937.0,3.145,69.195
Gabon,1979786.0,3.786,66.105
United Kingdom,65595565.0,1.8,80.9560975609756
Georgia,3719300.0,1.996,73.261
Ghana,28206728.0,3.984,62.742
Guinea,12395924.0,4.855,60.015
"Gambia, The",2038501.0,5.425,61.193
Guinea-Bissau,1815698.0,4.633,57.403
Equatorial Guinea,1221490.0,4.687,57.681
Greece,10770521.0,1.33,81.0365853658537
Grenada,107317.0,2.104,73.659
Guatemala,16582469.0,2.973,73.409
Guam,162896.0,2.347,79.575
Guyana,773303.0,2.51,66.65
High income,1189954263.0,1.65074493240394,80.5267132863818
"Hong Kong SAR, China",7336600.0,1.205,84.2268292682927
Honduras,9112867.0,2.462,73.575
Heavily indebted poor countries (HIPC),744602976.0,4.85597269553095,62.0817538874784
Croatia,4174349.0,1.4,78.0219512195122
Haiti,10847334.0,2.919,63.33
Hungary,9814023.0,1.45,75.5682926829269
IBRD only,4699229277.0,2.08347002304693,72.762707850041
IDA & IBRD total,6273581970.0,2.56454777461647,70.4686473478014
IDA total,1574352693.0,4.07622717176308,63.6207191186284
IDA blend,521159047.0,4.18402638001722,61.6624482712323
Indonesia,261115456.0,2.363,69.191
IDA only,1053193646.0,4.02333704262453,64.5896660220776
India,1324171354.0,2.326,68.56
Ireland,4749777.0,1.92,81.6073170731707
"Iran, Islamic Rep.",80277428.0,1.661,75.953
Iraq,37202572.0,4.37,69.862
Iceland,335439.0,1.8,82.4682926829268
Israel,8546000.0,3.11,82.4073170731707
Italy,60627498.0,1.35,82.5439024390244
Jamaica,2881355.0,2.009,75.97
Jordan,9455802.0,3.378,74.329
Japan,126994511.0,1.44,83.9848780487805
Kazakhstan,17794397.0,2.73,72.3
Kenya,48461567.0,3.852,67.032
Kyrgyz Republic,6079500.0,3.1,70.9512195121951
Cambodia,15762370.0,2.56,68.981
Kiribati,114395.0,3.651,66.317
"Korea, Rep.",51245707.0,1.172,82.0243902439024
Kuwait,4052584.0,1.97,74.694
Latin America & Caribbean (excluding high income),610136397.0,2.0782460065515,75.3973629108256
Lao PDR,6758353.0,2.698,66.683
Lebanon,6006668.0,1.719,79.584
Liberia,4613823.0,4.581,62.505
Libya,6293253.0,2.274,71.934
St. Lucia,178015.0,1.459,75.496
Latin America & Caribbean,637668677.0,2.06470953073058,75.5400825219711
Least developed countries: UN classification,979387925.0,4.11528506407683,64.4451978135642
Low income,659272676.0,4.72749891751744,62.5373734853983
Liechtenstein,37666.0,1.4,82.6560975609756
Sri Lanka,21203000.0,2.046,75.284
Lower middle income,3014788232.0,2.77972826831024,67.9365842073265
Low & middle income,6254072964.0,2.57115376040666,70.4203972957987
Lesotho,2203821.0,3.094,54.174
Late-demographic dividend,2264565982.0,1.70329224688188,75.7156540392224
Lithuania,2868231.0,1.7,74.3219512195122
Luxembourg,582014.0,1.47,82.2926829268293
Latvia,1959537.0,1.7,74.5292682926829
"Macao SAR, China",612167.0,1.311,83.849
St. Martin (French part),31949.0,1.81,79.6219512195122
Morocco,35276786.0,2.491,75.821
Moldova,3551954.0,1.241,71.61
Madagascar,24894551.0,4.184,65.932
Maldives,427756.0,2.093,77.339
Middle East & North Africa,436720093.0,2.77451696783965,73.4914586469442
Mexico,127540423.0,2.184,77.118
Middle income,5594800288.0,2.33767682326715,71.3493408909487
"Macedonia, FYR",2081206.0,1.533,75.703
Mali,17994837.0,6.057,57.966
Malta,437418.0,1.45,81.7975609756098
Myanmar,52885223.0,2.207,66.612
Middle East & North Africa (excluding high income),373719055.0,2.82271211312292,72.9919202205411
Montenegro,622303.0,1.667,77.116
Mongolia,3027398.0,2.757,69.287
Mozambique,28829476.0,5.243,58.311
Mauritania,4301018.0,4.674,63.238
Mauritius,1263473.0,1.4,74.3948780487805
Malawi,18091575.0,4.571,63.223
Malaysia,31187265.0,2.037,75.3
North America,359457493.0,1.77983344291589,79.0549345828977
Namibia,2479713.0,3.415,64.388
New Caledonia,277000.0,2.08,76.9615007371216
Niger,20672987.0,7.239,60.058
Nigeria,185989640.0,5.526,53.428
Nicaragua,6149928.0,2.2,75.404
Netherlands,17030314.0,1.66,81.509756097561
Norway,5236151.0,1.72,82.509756097561
Nepal,28982771.0,2.118,70.253
New Zealand,4693200.0,1.87,81.6124390243903
OECD members,1289872625.0,1.72632587839965,80.1243072348019
Oman,4424762.0,2.666,77.029
Other small states,29994562.0,3.10487416788337,67.6865880296221
Pakistan,193203476.0,3.481,66.481
Panama,4034119.0,2.514,78.001
Peru,31773839.0,2.4,74.983
Philippines,103320222.0,2.925,69.094
Papua New Guinea,8084991.0,3.658,65.544
Poland,37970087.0,1.32,77.4512195121951
Pre-demographic dividend,879292453.0,5.17456458183019,59.9614390590829
Puerto Rico,3411307.0,1.3,79.7883170731707
"Korea, Dem. People’s Rep.",25368620.0,1.91,71.685
Portugal,10325452.0,1.31,81.1268292682927
Paraguay,6725308.0,2.48,73.12
West Bank and Gaza,4551566.0,4.008,73.473
Pacific island small states,2388875.0,3.20771931509663,70.8953763898592
Post-demographic dividend,1102651400.0,1.61514786153577,80.4565242789194
French Polynesia,280208.0,2.013,76.813
Qatar,2569804.0,1.907,78.184
Romania,19699312.0,1.58,75.0121951219512
Russian Federation,144342396.0,1.75,71.5929268292683
Rwanda,11917508.0,3.885,67.129
South Asia,1766393714.0,2.45961420697189,68.710533053122
Saudi Arabia,32275687.0,2.532,74.561
Sudan,39578828.0,4.532,64.486
Senegal,15411614.0,4.769,67.146
Singapore,5607283.0,1.2,82.7951219512195
Solomon Islands,599419.0,3.85,70.726
Sierra Leone,7396190.0,4.457,51.835
El Salvador,6344722.0,2.079,73.512
Somalia,14317996.0,6.267,56.293
Serbia,7058322.0,1.46,75.2390243902439
Sub-Saharan Africa (excluding high income),1033118066.0,4.84975598724381,60.3935627977383
South Sudan,12230730.0,4.855,56.811
Sub-Saharan Africa,1033212743.0,4.84955021637553,60.3948379885854
Small states,39628909.0,2.90405289843061,68.868599219465
Sao Tome and Principe,199910.0,4.456,66.624
Suriname,558368.0,2.372,71.405
Slovak Republic,5430798.0,1.4,76.5634146341463
Slovenia,2065042.0,1.57,80.7756097560976
Sweden,9923085.0,1.85,82.2048780487805
Swaziland,1343098.0,3.084,57.754
Seychelles,94677.0,2.78,74.309756097561
Syrian Arab Republic,18430453.0,2.916,70.31
Chad,14452543.0,5.947,52.903
East Asia & Pacific (IDA & IBRD countries),2027896410.0,1.8472626151526,74.5276559956051
Europe & Central Asia (IDA & IBRD countries),455376693.0,1.88597761815442,73.2490408154072
Togo,7606374.0,4.45,60.232
Thailand,68863514.0,1.482,75.303
Tajikistan,8734951.0,3.36,71.051
Turkmenistan,5662544.0,2.888,67.835
Latin America & the Caribbean (IDA & IBRD countries),621534921.0,2.07468909106734,75.4373989608739
Timor-Leste,1268671.0,5.503,68.881
Middle East & North Africa (IDA & IBRD countries),369167489.0,2.80898968651084,72.9859888575887
Tonga,107122.0,3.636,73.029
South Asia (IDA & IBRD),1766393714.0,2.45961420697189,68.710533053122
Sub-Saharan Africa (IDA & IBRD countries),1033212743.0,4.84955021637552,60.3948379885854
Trinidad and Tobago,1364962.0,1.752,70.673
Tunisia,11403248.0,2.201,75.731
Turkey,79512426.0,2.053,75.755
Tanzania,55572201.0,5.016,65.675
Uganda,41487965.0,5.591,59.889
Ukraine,45004645.0,1.466,71.4763414634146
Upper middle income,2580012056.0,1.82570097743296,75.337524450853
Uruguay,3444006.0,1.995,77.493
United States,323127513.0,1.8,78.690243902439
Uzbekistan,31847900.0,2.455,71.314
St. Vincent and the Grenadines,109643.0,1.931,73.179
"Venezuela, RB",31568179.0,2.317,74.545
Virgin Islands (U.S.),107510.0,2.09,79.2682926829268
Vietnam,94569072.0,1.954,76.253
Vanuatu,270402.0,3.275,72.133
World,7444027227.0,2.43902554981809,72.0352643358757
Samoa,195125.0,3.976,75.013
Kosovo,1816200.0,2.06,71.6463414634146
"Yemen, Rep.",27584213.0,3.995,64.953
South Africa,56015473.0,2.458,62.774
Zambia,16591390.0,4.981,61.874
Zimbabwe,16150362.0,3.76,61.163
